id,session_end,session_start,session_dur,session_counter,"session_id","ratid"
1,1596028130,1596027934,196,3,"9tbouoe1u91apk1520419hnlfi","rjjtklihoh"
2,NULL,1596027938,NULL,NULL,"k1j0bkplpasgjrjnvgadlobtn5","r7sfbvv0kh"
3,1596029015,1596028030,985,15,"1d6jn7pct8u5eh2tfvc3b3mmtc","rq5uph92ju"
4,NULL,1596028375,NULL,NULL,"fou33ee9a69f5l22286brhggn3","r7sfbvv0kh"
5,NULL,1596028405,NULL,NULL,"v3p8u626oichj0m7on20tha6ih","r4f5uhhj3h"
6,1596032219,1596028636,3583,8,"j5n63el6t4oq7a349n31qak8b0","r7sfbvv0kh"
7,NULL,1596029072,NULL,NULL,"9ire186lp63ke65b5cp21ead39","r4f5uhhj3h"
8,1596030442,1596029502,940,12,"v3a3ha25ll7445u64fkpcgdpha","rjjtklihoh"
9,1596033019,1596029993,3026,15,"f11ecjnq7u2cj7brl73pk7nmt6","r4f5uhhj3h"
10,1596034376,1596032795,1581,7,"o4u99qectem7a0d9crg5mckv6m","r7sfbvv0kh"
