partid,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,done
p4f8fpkh64,judg_asp,std,22,male,14,employed,1k_2k,correct,correct,83,89,1
pvrlkt68hp,judg_asp,rev,31,female,16,employed,1k_2k,NA,NA,NA,NA,NA
plbnmt431n,asp_judg,std,48,male,16,employed,4k_5k,NA,NA,NA,NA,NA
pr33im0khj,asp_judg,rev,29,female,13,employed,2k_3k,correct,correct,98,100,1
pdstj0n8k2,judg_asp,std,43,female,14,employed,1k_2k,correct,correct,100,100,1
pvi4j9ef41,judg_asp,rev,24,female,15,selfemployed,0_1k,correct,correct,93,76,1
pfcib1keji,asp_judg,std,32,female,15,employed,5k_x,correct,correct,100,100,1
psgt9qcep6,asp_judg,rev,38,female,12,selfemployed,1k_2k,correct,correct,100,100,1
p3262keug8,judg_asp,std,49,female,14,retired,1k_2k,correct,correct,100,95,1
pdonrgal58,judg_asp,rev,42,female,16,employed,2k_3k,correct,correct,100,100,1
p8gc43thpl,asp_judg,std,38,male,14,employed,0_1k,NA,NA,NA,NA,NA
pc07a08lab,asp_judg,rev,28,male,2,employed,3k_4k,correct,correct,99,88,1
ph6c4hf8cu,judg_asp,std,45,female,14,employed,1k_2k,correct,correct,100,100,1
pgbqe2ivdq,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1
p0q649f7q9,asp_judg,std,56,female,16,selfemployed,0_1k,correct,correct,100,100,1
pn2ednh8lg,asp_judg,rev,36,female,12,selfemployed,2k_3k,NA,NA,NA,NA,NA
pr3sfhhpeu,judg_asp,std,27,male,18,student,5k_x,correct,correct,100,100,1
pgorjlma2i,judg_asp,rev,43,female,14,employed,1k_2k,correct,correct,89,88,1
p3h45bs08l,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1
pbea3h8c87,asp_judg,rev,21,female,19,student,0_1k,correct,correct,100,92,1
pfc8qjpri8,judg_asp,std,25,female,25,employed,1k_2k,NA,NA,NA,NA,NA
pl2nrp2d2h,judg_asp,rev,22,male,15,student,0_1k,correct,correct,100,100,1
pmqjpln9e3,asp_judg,std,44,female,16,selfemployed,1k_2k,correct,correct,97,100,1
pn82ev9f5d,asp_judg,rev,28,male,20,employed,4k_5k,NA,NA,NA,NA,NA
psutrrjogp,judg_asp,std,37,male,16,employed,2k_3k,NA,NA,NA,NA,NA
p5j3thnogb,judg_asp,rev,53,male,19,employed,4k_5k,correct,correct,100,95,1
p87k7u0v7v,asp_judg,std,40,male,17,employed,4k_5k,NA,NA,NA,NA,NA
pc04p0ndrn,asp_judg,rev,40,female,15,employed,1k_2k,correct,correct,100,100,1
pob34e2cm0,judg_asp,std,35,male,19,selfemployed,0_1k,correct,correct,100,100,1
phr4dbis6r,judg_asp,rev,55,female,16,employed,2k_3k,correct,correct,100,100,1
p4l115od5v,asp_judg,std,56,male,16,employed,3k_4k,correct,correct,95,76,1
pr4f1reig1,asp_judg,rev,57,female,14,employed,1k_2k,NA,NA,NA,NA,NA
p6sc27g6n8,judg_asp,std,38,male,16,employed,4k_5k,correct,correct,88,93,1
p1vis9jgq0,judg_asp,rev,34,male,14,employed,2k_3k,correct,correct,91,93,1
pigl6mph69,asp_judg,std,48,male,16,employed,2k_3k,correct,correct,100,86,1
pmk7bbsa9k,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1
p56jepscab,judg_asp,std,23,male,15,student,0_1k,correct,correct,81,81,1
p6sf43r91a,judg_asp,rev,22,female,14,unemployed,0_1k,correct,correct,96,100,1
psk9b6s1j4,asp_judg,std,34,male,"NA",employed,1k_2k,correct,correct,100,100,1
pv2hqjtsak,asp_judg,rev,57,female,18,employed,4k_5k,correct,correct,99,90,1
p51m1d9843,judg_asp,std,38,female,14,employed,2k_3k,correct,correct,100,78,1
p67815jegg,judg_asp,rev,54,male,16,"NA",0_1k,correct,correct,76,91,1
pvnlj59tle,asp_judg,std,43,male,14,employed,1k_2k,NA,NA,NA,NA,NA
puotio2nku,asp_judg,rev,39,male,12,employed,2k_3k,correct,correct,100,100,1
p84keati5e,judg_asp,std,49,female,12,employed,1k_2k,correct,correct,100,100,1
p7j514egrk,judg_asp,rev,71,male,"NA",retired,2k_3k,NA,NA,NA,NA,NA
pov000hkjp,asp_judg,std,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p41oipmpg5,asp_judg,rev,40,female,18,employed,3k_4k,correct,correct,100,100,1
p1p93m6a4h,judg_asp,std,27,female,13,employed,2k_3k,correct,wrong,99,97,1
pf495sukik,judg_asp,rev,44,female,19,employed,5k_x,correct,correct,86,98,1
pe7261avug,asp_judg,std,33,male,6,employed,5k_x,correct,correct,64,85,1
p1g73h9h1g,asp_judg,rev,52,female,18,employed,3k_4k,correct,correct,100,91,1
pr3fgsmfld,judg_asp,std,66,female,16,employed,4k_5k,correct,correct,93,90,1
prl66vp7gm,judg_asp,rev,60,female,13,employed,1k_2k,correct,correct,100,100,1
pkjfs2qj0c,asp_judg,std,38,male,18,unemployed,1k_2k,NA,NA,NA,NA,NA
puaekd90jg,asp_judg,rev,39,male,14,employed,5k_x,correct,correct,100,100,1
p5ndghkbin,judg_asp,std,57,male,16,employed,1k_2k,correct,correct,100,100,1
pb1v2d5lmd,judg_asp,rev,60,female,12,selfemployed,2k_3k,correct,correct,97,98,1
p6d5irmbd1,asp_judg,std,27,female,14,employed,0_1k,NA,NA,NA,NA,NA
ppa2om583b,asp_judg,rev,65,female,14,retired,2k_3k,correct,correct,100,100,1
p4qbqqsu1g,judg_asp,std,46,female,16,employed,4k_5k,correct,correct,98,71,1
pvcn4ugpbp,judg_asp,rev,47,female,12,unemployed,1k_2k,correct,correct,91,79,1
pdtifg9hlc,asp_judg,std,61,male,19,selfemployed,1k_2k,correct,correct,100,87,1
p6v4lq5ukc,asp_judg,rev,25,female,13,selfemployed,1k_2k,NA,NA,NA,NA,NA
pi58f51pmu,judg_asp,std,28,male,16,selfemployed,2k_3k,correct,correct,100,80,1
