id,"partid","cond_order","cond_soepframe","soep_item",rating
1,"pvrlkt68hp","judg_asp","rev","gen",0
2,"p4f8fpkh64","judg_asp","std","gen",8
3,"pdstj0n8k2","judg_asp","std","gen",1
4,"pvi4j9ef41","judg_asp","rev","gen",3
5,"pr33im0khj","asp_judg","rev","gen",10
6,"pfcib1keji","asp_judg","std","gen",8
7,"psgt9qcep6","asp_judg","rev","gen",2
8,"p3262keug8","judg_asp","std","gen",4
9,"pdonrgal58","judg_asp","rev","gen",2
10,"ph6c4hf8cu","judg_asp","std","gen",1
11,"pgbqe2ivdq","judg_asp","rev","gen",7
12,"pc07a08lab","asp_judg","rev","gen",9
13,"p0q649f7q9","asp_judg","std","gen",6
14,"pr3sfhhpeu","judg_asp","std","gen",10
15,"pgorjlma2i","judg_asp","rev","gen",4
16,"pbea3h8c87","asp_judg","rev","gen",6
17,"pfc8qjpri8","judg_asp","std","gen",4
18,"pl2nrp2d2h","judg_asp","rev","gen",4
19,"p3h45bs08l","asp_judg","std","gen",9
20,"pmqjpln9e3","asp_judg","std","gen",2
21,"p5j3thnogb","judg_asp","rev","gen",1
22,"pob34e2cm0","judg_asp","std","gen",3
23,"phr4dbis6r","judg_asp","rev","gen",2
24,"pc04p0ndrn","asp_judg","rev","gen",0
25,"p6sc27g6n8","judg_asp","std","gen",1
26,"p1vis9jgq0","judg_asp","rev","gen",4
27,"pr4f1reig1","asp_judg","rev","gen",2
28,"p4l115od5v","asp_judg","std","gen",2
29,"pigl6mph69","asp_judg","std","gen",1
30,"p6sf43r91a","judg_asp","rev","gen",6
31,"pmk7bbsa9k","asp_judg","rev","gen",8
32,"p56jepscab","judg_asp","std","gen",4
33,"psk9b6s1j4","asp_judg","std","gen",7
34,"p51m1d9843","judg_asp","std","gen",0
35,"pv2hqjtsak","asp_judg","rev","gen",9
36,"p67815jegg","judg_asp","rev","gen",5
37,"p84keati5e","judg_asp","std","gen",1
38,"puotio2nku","asp_judg","rev","gen",2
39,"p7j514egrk","judg_asp","rev","gen",8
40,"p1p93m6a4h","judg_asp","std","gen",10
41,"p41oipmpg5","asp_judg","rev","gen",3
42,"pf495sukik","judg_asp","rev","gen",5
43,"pe7261avug","asp_judg","std","gen",7
44,"pr3fgsmfld","judg_asp","std","gen",3
45,"p1g73h9h1g","asp_judg","rev","gen",2
46,"prl66vp7gm","judg_asp","rev","gen",4
47,"p5ndghkbin","judg_asp","std","gen",3
48,"pb1v2d5lmd","judg_asp","rev","gen",7
49,"puaekd90jg","asp_judg","rev","gen",1
50,"p6d5irmbd1","asp_judg","std","gen",2
51,"p4qbqqsu1g","judg_asp","std","gen",3
52,"ppa2om583b","asp_judg","rev","gen",1
53,"pvcn4ugpbp","judg_asp","rev","gen",4
54,"pdtifg9hlc","asp_judg","std","gen",2
55,"pi58f51pmu","judg_asp","std","gen",8
